permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
25785,,FORD MOTOR CO,1960-09-01,66.5,67.375,61.125,64.25,0.9734848484848485
10145,,ALLIED CHEMICAL CORP,1960-10-01,47.625,50.75,46.0,49.25,1.0287206266318538
11308,,COCA COLA CO,1960-10-01,63.875,66.75,63.0,63.75,0.9980430528375733
11404,,CONSOLIDATED EDISON CO NY INC,1960-10-01,62.25,65.25,62.25,64.0,1.0301810865191148
11674,,DETROIT EDISON CO,1960-10-01,44.125,44.875,42.625,43.625,0.9886685552407932
11762,,EATON MFG CO,1960-10-01,30.625,31.25,28.5,29.0,0.9508196721311475
11850,,STANDARD OIL CO N J,1960-10-01,40.5,41.25,39.375,39.75,0.9754601226993865
12052,,GENERAL DYNAMICS CORP,1960-10-01,38.5,39.125,35.75,37.625,0.9868852459016394
12060,,GENERAL ELECTRIC CO,1960-10-01,72.75,75.375,70.875,73.0,0.9948892674616695
12490,,INTERNATIONAL BUSINESS MACHS COR,1960-10-01,516.0,530.5,501.0,511.0,0.9903100775193798
13856,,PEPSI COLA CO,1960-10-01,39.5,42.375,38.0,38.0,0.9681528662420382
13901,,PHILIP MORRIS INC,1960-10-01,70.75,72.0,69.0,71.0,1.0053097345132742
13928,,PHILLIPS PETROLEUM CO,1960-10-01,46.875,51.0,46.5,51.0,1.088
14541,,STANDARD OIL CO CALIFORNIA,1960-10-01,42.5,46.375,41.625,44.0,1.0352941176470587
15579,,TEXAS INSTRUMENTS INC,1960-10-01,184.5,184.875,148.25,165.25,0.8956639566395664
15720,,SOUTHERN CALIFORNIA EDISON CO,1960-10-01,58.875,61.75,58.125,60.75,1.0362473347547974
16600,,HERSHEY CHOCOLATE CORP,1960-10-01,94.25,99.0,92.125,96.0,1.0131926121372032
16678,,KROGER COMPANY,1960-10-01,28.625,28.75,25.75,26.125,0.9166666666666666
17005,,MELVILLE SHOE CORP,1960-10-01,28.125,29.625,27.5,28.625,1.0088105726872247
17478,,MCGRAW HILL PUBLISHING INC,1960-10-01,84.25,89.5,83.5,89.0,1.0626865671641792
17750,,KIMBERLY CLARK CORP,1960-10-01,79.25,82.375,77.125,79.5,1.011128775834658
17830,,UNITED AIRCRAFT CORP,1960-10-01,40.25,41.0,34.625,37.5,0.9259259259259259
18163,,PROCTER & GAMBLE CO,1960-10-01,113.75,127.5,111.0,125.0,1.1013215859030836
18411,,SOUTHERN CO,1960-10-01,43.875,47.75,43.25,44.0,1.0028490028490027
18542,,CATERPILLAR TRACTOR INC,1960-10-01,25.0,26.875,24.75,26.5,1.065326633165829
18729,,COLGATE PALMOLIVE CO,1960-10-01,30.0,31.0,27.5,27.5,0.9166666666666666
19350,,DEERE & CO DEL,1960-10-01,44.5,45.75,43.625,44.625,1.0084745762711864
19393,,BRISTOL MYERS CO,1960-10-01,58.75,58.875,50.0,55.0,0.9401709401709402
19561,,BOEING AIRPLANE CO,1960-10-01,30.75,32.875,29.25,32.75,1.0737704918032787
20482,,ABBOTT LABS,1960-10-01,57.75,58.5,50.0,52.0,0.9082969432314411
21573,,INTERNATIONAL PAPER CO,1960-10-01,88.375,93.75,85.75,91.25,1.03988603988604
21776,,PHILADELPHIA ELECTRIC CO,1960-10-01,51.5,52.5,49.625,50.375,0.9781553398058253
